timestamp px py pz qx qy qz qw
1532199876.342413664 0.265576384 1.211617477 2.334495056 -0.114741908 0.126170215 -0.035044343 0.984727001
1532199876.391267061 0.266490236 1.209668350 2.339316738 -0.115254493 0.124510984 -0.036337150 0.984831472
1532199876.442141533 0.267285134 1.210158788 2.344877797 -0.117000802 0.123349334 -0.036830349 0.984753411
1532199876.490989447 0.269276594 1.211243481 2.343808154 -0.119865163 0.123211746 -0.036589607 0.984435071
1532199876.690468788 0.270384675 1.216964706 2.355997504 -0.136183928 0.118529526 -0.038125621 0.982828126
1532199876.739311457 0.269827992 1.217997557 2.361328632 -0.138475754 0.116347581 -0.036848435 0.982817327
1532199876.790172815 0.269464255 1.217279623 2.371620442 -0.139184535 0.115110573 -0.034877652 0.982934774
1532199876.839004040 0.271866426 1.217810579 2.375241244 -0.138298077 0.115164236 -0.032556840 0.983133202
1532199876.889850855 0.272779049 1.218406814 2.380332425 -0.137114804 0.115928377 -0.030102460 0.983287335
1532199876.938689470 0.272349349 1.219294532 2.378838484 -0.135826293 0.116691337 -0.028262103 0.983430528
1532199876.987527132 0.273193204 1.219764631 2.377356714 -0.135382186 0.117360574 -0.026551551 0.983459798
1532199877.138084173 0.275250869 1.221202006 2.371181705 -0.140294874 0.121353723 -0.025776313 0.982306573
1532199877.435184717 0.286571763 1.223083632 2.360039570 -0.148574477 0.125527433 -0.030711200 0.980420986
1532199877.534917355 0.286352368 1.228584549 2.370587676 -0.150140314 0.126018023 -0.034644628 0.979988313
1532199877.683437586 0.289125856 1.232788202 2.380854321 -0.151702395 0.127389128 -0.042311770 0.979269170
1532199877.783213615 0.289775647 1.235212805 2.389696875 -0.151281631 0.130190268 -0.047134204 0.978745487
1532199877.832031250 0.289551515 1.236577443 2.395554091 -0.150844659 0.131153650 -0.049046069 0.978590360
1532199877.931791782 0.285162557 1.238136284 2.406590625 -0.150155566 0.131601754 -0.051365290 0.978517190
1532199877.982652664 0.284005450 1.238713404 2.410351349 -0.150485097 0.131112504 -0.052452928 0.978474546
1532199878.131188631 0.283074246 1.242285123 2.419802894 -0.152941255 0.130863796 -0.056468438 0.977903346
1532199878.180028677 0.282429322 1.243581583 2.423885790 -0.152981246 0.131564160 -0.057406963 0.977748460
