Left [ns] , Right [ns] , Common [ns]
1579097793623339500,1579097793623421100,1579097793623380224
1579097793690566300,1579097793690647900,1579097793690607104
1579097793755689400,1579097793755771100,1579097793755730176
1579097793822920000,1579097793823001600,1579097793822960896
1579097793890097400,1579097793890179000,1579097793890138112
1579097793955255300,1579097793955336900,1579097793955296000
1579097794022416700,1579097794022498300,1579097794022457600
1579097794089592100,1579097794089673800,1579097794089633024
1579097794156776100,1579097794156857800,1579097794156816896
1579097794221929700,1579097794222011300,1579097794221970432
1579097794289111300,1579097794289192900,1579097794289152000
1579097794356313800,1579097794356395500,1579097794356354560
1579097794421504700,1579097794421586300,1579097794421545472
1579097794488685000,1579097794488766700,1579097794488725760
1579097794555861600,1579097794555943300,1579097794555902464
1579097794623090800,1579097794623172400,1579097794623131648
1579097794688194900,1579097794688276600,1579097794688235776
1579097794755388900,1579097794755470600,1579097794755429632
1579097794822541900,1579097794822623600,1579097794822582784
1579097794887679900,1579097794887761500,1579097794887720704
1579097794954847900,1579097794954929500,1579097794954888704
1579097795022007900,1579097795022089600,1579097795022048768
1579097795089198000,1579097795089279600,1579097795089238784
1579097795154366900,1579097795154448600,1579097795154407680
1579097795221552600,1579097795221634300,1579097795221593344
1579097795288745500,1579097795288827200,1579097795288786432
1579097795353917400,1579097795353999100,1579097795353958144
1579097795421110200,1579097795421191900,1579097795421150976
1579097795488297900,1579097795488379600,1579097795488338688
1579097795555515400,1579097795555597100,1579097795555556352
1579097795620637200,1579097795620718900,1579097795620678144
1579097795687877100,1579097795687958800,1579097795687917824
1579097795755059000,1579097795755140700,1579097795755099904
1579097795820223800,1579097795820305500,1579097795820264704
1579097795887336200,1579097795887417900,1579097795887377152
1579097795954490200,1579097795954571900,1579097795954531072
1579097796021654000,1579097796021735700,1579097796021694976
1579097796086792200,1579097796086873900,1579097796086833152
1579097796153956000,1579097796154037700,1579097796153996800
1579097796221114400,1579097796221196200,1579097796221155328
1579097796286249400,1579097796286331100,1579097796286290176
1579097796353409400,1579097796353491100,1579097796353450240
1579097796420555200,1579097796420636900,1579097796420595968
1579097796487757700,1579097796487839400,1579097796487798528
1579097796552855900,1579097796552937600,1579097796552896768
1579097796620069900,1579097796620151600,1579097796620110848
1579097796687265200,1579097796687347000,1579097796687305984
1579097796752419600,1579097796752501400,1579097796752460544
